ParlaMint-GB_2019-10-21-commons.u1	1. What recent assessment he has made of trends in the number of Army personnel.
ParlaMint-GB_2019-10-21-commons.u100	Our armed forces have suffered decades of being hollowed out to meet short-term pressures. Eventually, that takes its toll on the men and women of the armed forces and the equipment and maintenance programme. The funds announced recently in the spending review will allow us to reinvest and to maintain our forces at their present levels. The adequacy of our capability is of course defined by the extent of our ambitions, and by whether we as a nation are willing to fund them.
ParlaMint-GB_2019-10-21-commons.u101	Will my right hon. Friend reassure me that nothing in the European Union’s co-ordinated annual review of defence will affect the capability or strength of our armed forces in the short, medium or long term as we leave the EU?
ParlaMint-GB_2019-10-21-commons.u102	My hon. Friend has raised some concerns about the engagement with Europe, and, indeed, about Europe’s ambition. I think it absolutely right that the European Commission has a strong ambition for a single defence capability. We have made it clear that we will only join any part of this European defence arrangement voluntarily, and on condition that there is a unilateral mechanism for exit. That is the key purpose. We will, of course, work with international partners often to face threats.
ParlaMint-GB_2019-10-21-commons.u103	If the Secretary of State wants to assess the strength of the armed forces, does he now agree that it is about time that they had a trade union to stand up for ordinary members of the armed forces against his puny Government?
ParlaMint-GB_2019-10-21-commons.u104	Coming from a party that would reduce the armed forces to a rubber boat in Scotland, I do not think we should take any lectures from the hon. Gentleman and the SNP. It is absolutely clear: the SNP is obsessed with trade union representation rather than investing in armed forces.
ParlaMint-GB_2019-10-21-commons.u105	11. What steps he is taking with the Secretary of State for Education to ensure that armed forces personnel with children eligible for the service pupil premium inform their child’s school of that eligibility.
ParlaMint-GB_2019-10-21-commons.u106	I have already met the Schools Minister on this issue. We work hard to get the message out there through payslips, posters and an advertisement campaign. We can all, as MPs, play a role in making sure the families of those who serve receive the benefits they are entitled to.
ParlaMint-GB_2019-10-21-commons.u107	There are over 400 serving armed forces personnel in the Wakefield district, and they make a huge contribution to our nation’s defence, but there are concerns from the Army Families Federation that the service pupil premium is not being used properly by schools to improve pastoral outcomes for service children. What discussions has the Minister had with schools on guidance?
ParlaMint-GB_2019-10-21-commons.u108	I am very keen that the service pupil premium is used in the way that it has been designed for—pastoral care and things like that—and if the hon. Lady has evidence that that is not taking place, I invite her to write to me and we can look into it.
ParlaMint-GB_2019-10-21-commons.u109	When the Minister next comes to visit the Royal Military College in Shrivenham in my constituency, will he pop into Watchfield primary school, where he will see a brilliant primary school that educates children from all over the world—the children of those of many nationalities who study at the military defence college—and when he gets back will he ask the Secretary State why the Ministry of Defence gives no financial help to this primary school for the language teaching it has to do for those children?
ParlaMint-GB_2019-10-21-commons.u110	I pay tribute to the school in question, which does a great job of looking after the children of those who come and serve at Shrivenham, and I am more than happy to look into the case my right hon. Friend raises.
