ParlaMint-GB_2018-10-22-commons.u1	1. What steps he is taking to improve veterans’ access to support services.
ParlaMint-GB_2018-10-22-commons.u120	As I am sure you will vividly remember, Mr Speaker, on this very date 35 years ago the largest ever demonstration by the campaign for one-sided nuclear disarmament marched in London. Just under 100,000 people marched—although, typically, four times that number was claimed—and the then leader of the Labour party, a lifelong unilateralist, told the rally that NATO should not deploy cruise or Pershing II missiles. If that policy had been followed, we would not have had an intermediate-range nuclear forces treaty. What assessment have my right hon. Friend and his Department made of whether that INF treaty, which has been successful for so long, has now been violated by Russia?
ParlaMint-GB_2018-10-22-commons.u121	It has been our clear and consistent view that Russia has been in breach of that treaty. We urge Russia to comply with the treaty.
ParlaMint-GB_2018-10-22-commons.u122	I do vividly remember the demonstration in question, not least because, as the right hon. Member for New Forest East (Dr Lewis) is keenly aware, at almost exactly the same time I made an absolutely splendid speech at the University of Essex student union that was based overwhelmingly on the sagacious briefing provided by the right hon. Gentleman.
ParlaMint-GB_2018-10-22-commons.u123	I am grateful to the Secretary of State for listening to Plymouth’s campaigns to base the new Type 26 frigates in Devonport, in the constituency that I represent, and to save Albion and Bulwark from being cut. Can he give any further reassurance to the workers in Devonport that we will be a base for future NATO operations by confirming that we will be the home to the Royal Marines super-base as well?
ParlaMint-GB_2018-10-22-commons.u124	I should like to pay tribute to all the Members of Parliament in Devon and Cornwall who have campaigned so hard on the basing of the Type 26s and on keeping Albion and Bulwark. We are not going to make any early comments on the future basing arrangements, but I take note of the hon. Gentleman’s comments.
ParlaMint-GB_2018-10-22-commons.u125	15. What military support the UK provides to Uganda.
ParlaMint-GB_2018-10-22-commons.u126	The majority of UK military support to Uganda involves training for the African Union mission to Somalia, which includes training officer cadets at Sandhurst and senior officers at the Defence Academy of the United Kingdom.
ParlaMint-GB_2018-10-22-commons.u127	Ugandan soldiers recently tortured five Members of Parliament, including the pop star Bobi Wine, and dozens of others. Two of those MPs might never walk again. Why is the UK training those Ugandan forces at Sandhurst?
ParlaMint-GB_2018-10-22-commons.u128	We are not training those Ugandan forces. Let me be absolutely clear about this Government’s condemnation of the actions involving those Members of Parliament. The Ministry of Defence does not engage with the special forces command, which operates separately from the mainstream Ugandan people’s defence force. It was the special forces command that was involved in that incident.
ParlaMint-GB_2018-10-22-commons.u129	16. What steps he is taking to ensure that veterans are given adequate protection from prosecution in relation to their service in Northern Ireland.
ParlaMint-GB_2018-10-22-commons.u130	Our service personnel perform exceptional feats in difficult circumstances to protect this country. The Government’s view is that the institutions set out in the draft Stormont House agreement Bill, on which public consultation has just concluded, are the best way to ensure a fair, balanced and proportionate approach to addressing the legacy of the past in Northern Ireland.
