ParlaMint-GB_2018-07-17-commons.u1	1. What steps he is taking to support growth in the offshore wind sector.
ParlaMint-GB_2018-07-17-commons.u109	I am sure that the Minister saw the recent report from the Office for Life Sciences, which showed that R&D investment in the pharmaceutical sector fell from £4.9 billion per annum in 2011 to £4.1 billion in 2016—a decline of £800 million per annum. To what does he attribute that, and given that life sciences are so important, what does he plan to do about it?
ParlaMint-GB_2018-07-17-commons.u110	I am aware that everyone in the life sciences sector has welcomed the life sciences sector deal. As part of our work to reach 2.4% of our GDP being invested in scientific research by 2027, we will be working with the pharmaceutical industry along with other industries to increase their research investment in the UK.
ParlaMint-GB_2018-07-17-commons.u111	When can we expect an announcement of the funding for the next phase of the national quantum technologies programme?
ParlaMint-GB_2018-07-17-commons.u112	I am very much aware of that and am in discussions with UK Research and Innovation. An announcement will be made very soon.
ParlaMint-GB_2018-07-17-commons.u113	12. What assessment he has made of the effect of the merger of Sainsbury’s and Asda on the employees of those companies.
ParlaMint-GB_2018-07-17-commons.u114	As far as the Asda-Sainsbury’s merger is concerned, my right hon. Friend the Secretary of State has been in close contact with the chief executives of both organisations. They have confirmed that there are no planned store closures as a result of the merger.
ParlaMint-GB_2018-07-17-commons.u115	Asda and Sainsbury’s combined will have a workforce of 330,000 people. Will the Secretary of State provide any assurance to these workers today that the Government will do everything in their power to stop any job losses or any cuts to pay and conditions? Is this a supermarket deal for workers and customers, or is it one for private profiteer shareholders?
ParlaMint-GB_2018-07-17-commons.u116	The hon. Gentleman will be aware that the merger is a matter for the companies themselves. They have, however, given an assurance that there are no planned closures and confirmed that Asda will continue to be run from Leeds with its own chief executive officer. The Competition and Markets Authority is looking at other aspects of the merger.
ParlaMint-GB_2018-07-17-commons.u117	A lot of jobs are sustained by local suppliers to both supermarkets. What opportunities will the Minister take to ensure that that continues, and in fact increases, with the newly formed company?
ParlaMint-GB_2018-07-17-commons.u118	The potential impact on suppliers and the supply chain is a very valid concern, given the market power that the combined entity will have, which is why my right hon. Friend the Secretary of State wrote to the CMA asking it to look at the impact on the supply chain as part of its ongoing investigation.
ParlaMint-GB_2018-07-17-commons.u119	14. What assessment he has made of the effect on the services sector of the Government’s negotiating position for leaving the EU agreed on 6 July 2018.
