ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u123	All parts of the public sector have been obliged to contribute to the national savings effort undertaken in recent years, but I would note to the hon. Gentleman that research councils have been exempted from those constraints and, as a consequence, have been able to compete around the world in attracting the best scientists to this country. They are doing so extremely effectively.
ParlaMint-GB_2015-06-30-commons.u124	Our universities are critical to the strength of our science base, but following the tripling of tuition fees in the last Parliament, four out of five students no longer think that their courses are value for money. The Minister’s predecessor said that he saw no case for raising tuition fees in this Parliament. What does the Minister think? Will tuition fees go up in this Parliament? A simple yes or no will do.
ParlaMint-GB_2015-06-30-commons.u125	Due to the financial situation we inherited, we are of course forced to review all BIS spend—as all Departments are reviewing their spend. As our manifesto made clear, the Government are committed to continuing to ensure that we have a stable and sustainable funding regime for our universities and higher education institutions. They are secure and financially stable, and we will continue to ensure a fair balance of interests between taxpayers and students.
ParlaMint-GB_2015-06-30-commons.u126	13. What recent estimate he has made of the proportion of jobs in the economy which are low-skilled.
ParlaMint-GB_2015-06-30-commons.u127	15. What recent estimate he has made of the proportion of jobs in the economy which are low-skilled.
ParlaMint-GB_2015-06-30-commons.u128	We are focused on increasing the number of jobs at all levels of skill and on investing in 3 million apprenticeships, which will help people to improve their skills and command higher wages.
ParlaMint-GB_2015-06-30-commons.u129	The Welsh Labour Government have created more than 17,000 job opportunities for 16 to 24-year-olds to develop skills and earn the minimum wage through their flagship scheme Jobs Growth Wales. Some 82% have been taken on by private firms, which has led to apprenticeships, further education and permanent work. Jobs Growth Wales has also enabled more than 270 young entrepreneurs to start new businesses. Does the Secretary of State have plans to roll out similar schemes this side of Offa’s Dyke?
ParlaMint-GB_2015-06-30-commons.u130	We welcome efforts by all parts of the UK to grow jobs and apprenticeships, and we have our own policies here. We will produce 3 million apprenticeship starts at all levels over the next five years, but we welcome anything else that the Welsh Government do to create jobs and apprenticeships.
ParlaMint-GB_2015-06-30-commons.u131	Thanks to Labour’s groundbreaking commitment to tackling climate change, investment in wind energy in Grimsby has created much needed high-skilled jobs in our local economy. With 25% of our young people not in education, employment or training, support for that industry is essential for my constituents’ future, but the Government have now announced the removal of subsidies for onshore wind. What effect does the Minister expect that to have on investor confidence in the offshore wind sector?
ParlaMint-GB_2015-06-30-commons.u132	It is not my area but, as the hon. Lady said, the cut in subsidies is for onshore wind. Her constituency is focused on offshore wind, where the Government’s support is committed and going up. I welcome the high-skilled jobs that that support is bringing to her constituency, which has seen a 38% fall in the number of people claiming benefits since 2010.
ParlaMint-GB_2015-06-30-commons.u133	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-06-30-commons.u134	May I first pay tribute to my predecessor, the equally hirsute former Member for Twickenham? As part of the coalition Government, Dr Cable did a great deal to support British business. Speaking of former members, I see that last month Lord Sugar resigned his membership of the Labour party, citing its negative business policies and general anti-enterprise approach. It seems that while the Government are busy creating 3 million more apprenticeships, Lord Sugar has told the Opposition that they are all fired.
