ParlaMint-GB_2015-03-04-commons.u1	1. What assessment he has made of trends in labour market statistics in Wales since 2010.
ParlaMint-GB_2015-03-04-commons.u105	What we have done is ensure that when schools are not succeeding and when they are coasting, they are taken over and turned around, and I think it very important that we intervene on behalf of local parents to make sure that that happens. However, I will look into the specific case that the hon. Gentleman has mentioned.
ParlaMint-GB_2015-03-04-commons.u106	Q6. At a time when the Government are losing millions through tax avoidance, how does it make sense to close North Ayrshire tax office, given that every officer there brings in taxes amounting to hundreds of thousands of pounds that would otherwise be lost to the Exchequer?
ParlaMint-GB_2015-03-04-commons.u107	We have made at least 40 changes to ensure that people pay their taxes. We inherited circumstances in which foreigners were not paying stamp duty, hedge fund managers were paying less tax than their cleaners, and a number of people were avoiding tax on an industrial scale. [Interruption.] Opposition Members sit there now, but they were the friends of the tax avoiders. They had 13 years in which to act, but they did nothing, and it took a Conservative Government to sort it out.
ParlaMint-GB_2015-03-04-commons.u108	Q7. Does the Prime Minister believe that his own behaviour and that of the Leader of the Opposition during Prime Minister’s Question Time enhances or damages the image of the Houses of Parliament and, indeed, that of politicians in the eyes of members of the public?
ParlaMint-GB_2015-03-04-commons.u109	Prime Minister’s Question Time is, inevitably, a robust exchange. I am sure that there are always ways in which we can improve it, but it has an important function in ensuring that we have accountable government in our country, and that people can ask the Prime Minister anything they want.
ParlaMint-GB_2015-03-04-commons.u110	Q8. Yesterday the Prime Minister rightly designated child sexual exploitation as a national threat. Sadly, the police are receiving more reports of abuse than ever before, but there are fewer investigations and prosecutions than there were in 2010-11. Since then, 16,000 police jobs have been cut. How can it be right to cut a further 1,100 next year?
ParlaMint-GB_2015-03-04-commons.u111	Let me begin by thanking the hon. Lady for mentioning the fact that we have made child sexual exploitation an issue of national importance. That will trigger work not just by local police forces, but by the National Crime Agency. That means that more resources will be put into investigations of this kind, which will employ all the tools that modern police are able to bring to their investigations. Rather than seeing priority being given to other issues, the hon. Lady will see priority being given to this issue. Yes, police budgets have been reduced, but the percentage of police on the front line has risen, and crime has fallen all over the country.
ParlaMint-GB_2015-03-04-commons.u112	In a dangerous world, experience as a statesman is one of the many advantages that my right hon. Friend has over any alternative Prime Minister. Does he agree that, in such a dangerous world, the ultimate guarantee of our security is our nuclear deterrent, and will he confirm that he would never be involved in any shabby deal to give away our nuclear deterrent as part of a wider deal with a unilateralist party, simply to get the keys to No. 10?
ParlaMint-GB_2015-03-04-commons.u113	My hon. Friend is absolutely right. The ultimate guarantor of Britain’s security is our independent nuclear deterrent. That is why we support it, and will ensure that it is properly renewed during the next Parliament. I think it important for everyone in the House to make that clear pledge It is concerning that nearly three quarters of Labour candidates oppose the renewal of Trident. I think that now is the time for Labour to rule out any agreement with the Scottish National party, because no one wants to see some grubby deal between the people who want to break up the United Kingdom and the people who want to bankrupt the United Kingdom.
ParlaMint-GB_2015-03-04-commons.u114	Q9. To have the accountable Government the Prime Minister just talked about, he needs to answer the questions asked of him. A two-way debate is planned by broadcasters for 30 April. For the third time today, I ask him: will he be there?
