ParlaMint-GB_2015-01-12-commons.u1	1. What steps he is taking to increase the number of cadet units in schools.
ParlaMint-GB_2015-01-12-commons.u107	Yes, the hon. Lady is absolutely right to draw attention to the economic and strategic importance of the strait of Hormuz. Our mine counter-measure vessels are playing a major part in ensuring that the strait always remains open, and I was privileged to visit two of those vessels and meet their crews. I put on record our appreciation of them for the very difficult and challenging work they do, particularly their divers, in making sure the strait remains open.
ParlaMint-GB_2015-01-12-commons.u108	13. What recent investment he has made in (a) cyber-security and (b) unmanned aerial vehicles for the armed forces.
ParlaMint-GB_2015-01-12-commons.u109	In addition to the sums identified by my right hon. Friend the Armed Forces Minister, in July of last year the Prime Minister announced a further investment in equipment for our armed forces, which included £75 million specifically for cyber-defence. The total recent investment in unmanned aerial vehicles for the armed forces in the current year is £233.5 million.
ParlaMint-GB_2015-01-12-commons.u110	On unmanned aerial vehicles, will my hon. Friend provide more information about the Watchkeeper tactical remotely piloted air system and when it will be available to our British Army units?
ParlaMint-GB_2015-01-12-commons.u111	I am pleased to be able to tell my hon. and learned Friend that the Watchkeeper achieved its first initial operating capability last summer and was deployed with the Royal Artillery to Afghanistan between August and October last year. It immediately demonstrated its excellent, and potentially game-changing, tactical capability over Helmand. We expect Watchkeeper to be at full operating capability in April 2016.
ParlaMint-GB_2015-01-12-commons.u112	As well as investing in unmanned aerial vehicles, is the Department responding to reports that al-Qaeda in the Arabian Peninsula is developing counter-measures designed to diminish the effectiveness of these drones in current operations?
ParlaMint-GB_2015-01-12-commons.u113	We are always alert to intelligence reports of evolving threats, from wherever they emerge. We take a very keen interest in the development of unmanned systems across the armed forces and will continue to do so.
ParlaMint-GB_2015-01-12-commons.u114	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2015-01-12-commons.u115	Our immediate priorities remain our current operations in Afghanistan and against ISIL and Ebola as well as the commitments reached at the NATO summit and the delivery of Future Force 2020. I want to build up our reserve forces and invest in the equipment that our armed forces need to keep Britain safe.
ParlaMint-GB_2015-01-12-commons.u116	Will my right hon. Friend tell me whether there will be opportunities for reserve units, such as 4th Battalion The Duke of Lancaster’s Regiment, to serve as units in operations and major exercises?
ParlaMint-GB_2015-01-12-commons.u117	Reserve service offers exciting opportunities to serve overseas in formed units. For example, a platoon from 3 Princess of Wales’s Royal Regiment will be supporting 1 Royal Anglian in Kabul from February onwards, and 4 Mercian, based in Wolverhampton, recently deployed two platoons to Cyprus. This is exactly what Future Force 2020 was intended to do—making the most of reservists’ skills by integrating them with our regulars.
ParlaMint-GB_2015-01-12-commons.u118	In the recent armed forces covenant report, the three service families federations state: “We remain disappointed that a sizeable proportion of our people continue to say that they have little or no knowledge of the AF Covenant and the principles that underpin it.” Three years after Conservative and Lib Dem MPs were initially whipped by the current Armed Forces Minister to vote against enshrining the principles of the armed forces covenant in law, this Government have failed to test their own policies against the covenant, failed to support local authorities to implement it and, we now know, even failed to ensure that forces families know about it. When are they going to get a grip?
ParlaMint-GB_2015-01-12-commons.u119	May I say how very disappointed I am at such an appallingly negative question that achieves absolutely diddly-squat? With the introduction of the covenant enshrined in law, this Government, more than any other, have ensured that our veterans, serving members of our armed forces and their families get the sort of recognition that they need. It is not disputed that we can do more, especially at local level. That is why, by the end of the day, I shall personally have topped and tailed a letter to every chief executive and every leader of every council in Great Britain. My next task is to write to every clinical commissioning group and hospital trust to ensure that we deliver on the covenant in the NHS as much as we are doing in government, and we now want to do it at local level.
