ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u106	My hon. Friend has been working very hard on this issue, and I commend him for the work he has done on behalf of his constituents and for bringing this matter to my attention again and again. My Department is working closely with the Department for Communities and Local Government, Cumbria county council and BT to ensure that the problem is resolved. I can also tell him that, following initial discussions, I am confident that the project can be fully delivered to give a great result for residents and businesses in Cumbria.
ParlaMint-GB_2015-01-15-commons.u107	Channel 4 has just launched its 360° charter, which is making a real commitment to improving diversity, to the extent that executives will lose their bonuses if they do not meet the targets. What is the Secretary of State doing to ensure that other companies follow suit?
ParlaMint-GB_2015-01-15-commons.u108	The hon. Lady rightly raises a very important point. My hon. Friend the Minister for Culture and the Digital Economy was at that launch. I have spoken a number of times about seeing more diversity in the media. For example, I talked about it just last month on Radio 4, mentioning both the work that Channel 4 is doing, which is a huge improvement on the past, and that done by the BBC, Sky and others. More can always be done, and if the hon. Lady also has some ideas, I would be happy to talk to her.
ParlaMint-GB_2015-01-15-commons.u109	I often ask questions about the provision of high-speed broadband in rural areas, but mobile phone coverage is just as bad. If I want to get a signal in my house, I have to clamber up on top of the kitchen unit or else trudge up the lane. Does the Minister realise that when we talk about 90% or 95% coverage, the 10% or 15% of people who are left out are always the same people—the people who live in rural Britain?
ParlaMint-GB_2015-01-15-commons.u110	I think the House is worried about that kitchen unit.
ParlaMint-GB_2015-01-15-commons.u111	As part of our commitment from the Department of Health to get Britain moving, we might have to leave my hon. Friend’s home out of our rural broadband roll-out, so that he keeps moving about the house rather than taking calls from a sedentary position. [Interruption.] I am waiting to establish what point the Labour Front-Bench team are trying to make.
ParlaMint-GB_2015-01-15-commons.u112	We want you to speed up!
ParlaMint-GB_2015-01-15-commons.u113	They want me to speed up. I can take as long as you want, Mr Speaker. As has been repeatedly stated from this Dispatch Box, a landmark deal at the end of last year with mobile phone companies will see partial not spots reduced by two thirds and not spots reduced by half.
ParlaMint-GB_2015-01-15-commons.u114	May I return to the question I asked the Under-Secretary about sport? Clearly there is a problem with getting young people to continue to take part in sport once they leave school, and that is particularly the case for young girls. She referred to a number of programmes, so may I ask her how her Department is monitoring whether there has been a significant increase in the number of young people, particularly girls, taking part in sport after they have left school?
ParlaMint-GB_2015-01-15-commons.u115	Our £1 billion youth and community strategy is helping to make sure that more young people, especially girls, participate in sport. Sport England is also running a very good campaign, the satellite community sports club campaign, which tries to bridge the gap between young girls doing sport at school and continuing to do those sports in the community when they leave school.
