ParlaMint-GB_2015-03-05-commons.u1	1. What recent progress has been made by the Airports Commission.
ParlaMint-GB_2015-03-05-commons.u102	They say that Rome was not built in a day, but I was not the foreman on that particular job. I am delighted to report to the House that, despite being told when we were in opposition that we could not introduce a lorry road user charge for foreign trucks, we have done so. We predicted that it would yield £25 million in revenue, but it is on track to yield more than £45 million in the first year, levelling the playing field for hard-working British hauliers.
ParlaMint-GB_2015-03-05-commons.u103	T10. Sadly, but unsurprisingly, the Government ignored the views of the people of the north-east when they ploughed ahead with the privatisation of the east coast main line. Will they back the wishes of the people of the north-east in introducing a quality contract scheme for the operation of our bus services, so that the buses can be put into the people’s hands and taken out of the hands of profiteers?
ParlaMint-GB_2015-03-05-commons.u104	The simple fact is that we will see fantastic benefits from the new operation on the east coast main line. We will see more services to towns that have not been served before, and more services to the north-east. One of the things I was keen to do last week, in relation to the invitation to tender and to the north-east, was to consign the Pacer trains to the rubbish heap. It is important to get rid of them, and that is something that this Government, unlike the last Government, will deliver on. The bus scheme for Newcastle and the north-east is currently before the Department, and it would be inappropriate for me to take a view on it at this time.
ParlaMint-GB_2015-03-05-commons.u105	rose—
ParlaMint-GB_2015-03-05-commons.u106	Time is against us, but I call Mr Alan Reid.
ParlaMint-GB_2015-03-05-commons.u107	Thank you, Mr Speaker. I am glad that Machrihanish is on the shortlist to become the UK’s first spaceport. It is far from any centres of population, it has a 3-km runway and the facilities of an RAF base, and I believe that it is the ideal candidate. I hope that the Department for Transport will support Machrihanish’s case.
ParlaMint-GB_2015-03-05-commons.u108	We are certainly looking at all the candidates in Scotland, Wales and England, and we believe that Britain will be at the forefront of the space race to get satellites into space cheaply and to introduce space tourism.
ParlaMint-GB_2015-03-05-commons.u109	rose—
ParlaMint-GB_2015-03-05-commons.u110	Order. I am sorry, but we must now move on
ParlaMint-GB_2015-03-05-commons.u111	1. What recent representations he has received from catering, maintenance and other staff of the House on the management of the House.
ParlaMint-GB_2015-03-05-commons.u112	The Commission has received no recent formal representations from staff in those areas on the management of the House. The staff have, however, had a number of opportunities to express their views to the management, including in the recent staff survey.
