ParlaMint-GB_2017-01-10-commons.u1	1. What recent assessment he has made of the security and humanitarian situation in Yemen.
ParlaMint-GB_2017-01-10-commons.u100	On behalf of Labour Members, may I pay tribute to the long and distinguished career of Sir Ivan Rogers? He served successive Governments with great distinction, and most of the Secretary of State’s predecessors had the good sense to appreciate it; it is a pity that he could not do so until just now when my hon. Friend the Member for Nottingham East (Chris Leslie) managed to press him. In his resignation letter, Sir Ivan said: “Contrary to the beliefs of some, free trade does not just happen” Can the Secretary of State explain who Sir Ivan had in mind?
ParlaMint-GB_2017-01-10-commons.u101	I have given my views about Sir Ivan, but I am happy to repeat them: I think he is, as the hon. Gentleman said, an outstanding public servant, and he always gave me very frank advice. It is vital for officials to continue to give their round, unvarnished views of matters such as the ease of negotiating free trade deals. It is not necessarily going to be simple, but there is no reason to think it cannot be done speedily, and no reason to think we cannot have fantastic free trade deals, not least with the United States of America.
ParlaMint-GB_2017-01-10-commons.u102	10. What steps he is taking to promote the resumption of peace talks between Israel and the Palestinian Authority.
ParlaMint-GB_2017-01-10-commons.u103	We are using every forum at our disposal to try to encourage both sides to get to the negotiating table. It is deeply frustrating. I join hon. Members on both sides of the House who have condemned the appalling attack on—the murder of—four Israeli soldiers at the weekend. All I can do is repeat what we have said: the only way forward has to be a two-state solution, and that is why it was important to restate the Government’s position in resolution 2334.
ParlaMint-GB_2017-01-10-commons.u104	The General Secretary of the UN has warned about Iran’s activities in arming Hezbollah in Lebanon through its base in Syria. What can the Foreign Secretary do to combat this growing menace to the prospects of any peace in the region?
ParlaMint-GB_2017-01-10-commons.u105	It is very important to recognise that Iran is a malign influence across the region, and we must be very vigilant about what it is doing. On the other hand, we have to engage with Iran. I think the JCPOA—joint comprehensive plan of action—does represent, still, a substantial and valid way forward, and it would be regrettable if we were to junk that process now.
ParlaMint-GB_2017-01-10-commons.u106	22. In looking at the steps to promote peace talks, what effect does the Foreign Secretary think the current level of Palestinian violence is going to have on that process?
ParlaMint-GB_2017-01-10-commons.u107	As my hon. Friend will know, the level of violence, as we have discussed, has been down by comparison with 2015, but it is still too high. I think it was important, therefore, that the resolution, which has been so much discussed this morning, had that balance in it and that language in it pointing out the threat that Israel faces. It is important that we stress that, and that we encourage the Palestinians to understand that there can be no hope of peace unless they get their extremists under control.
ParlaMint-GB_2017-01-10-commons.u108	I am pleased that the Foreign Secretary is using every forum to bring peace. Will he, therefore, be attending the Paris conference, and what new initiative will the UK Government be putting forward there?
ParlaMint-GB_2017-01-10-commons.u109	I can certainly assure the right hon. Gentleman that the UK Government will be attending the Paris talks and we will be reinforcing our message, which is that we think that both sides must get round the table and negotiate. That is the only way forward. It would be folly now to abandon a two-state solution, because, in the end, a one-state solution is not in the interests of Israel.
