ParlaMint-GB_2017-12-21-commons.u1	1. When she plans to announce her decision on a new location for Channel 4.
ParlaMint-GB_2017-12-21-commons.u113	Last week the Gambling Commission issued a report that highlighted that 80% of young people aged between 11 and 16 have seen gambling on television, 70% on social media, and 66% on websites. Does the Minister agree that more action must be taken to educate young people positively about the risks of gambling, as that could help them to avoid gambling-related harm later in life? A statutory levy on bookmakers could go a long way to funding that education.
ParlaMint-GB_2017-12-21-commons.u114	The quick answer is yes, and GambleAware will lead a responsible gambling advertising campaign as part of the consultation that we publish.
ParlaMint-GB_2017-12-21-commons.u115	May I say, Mr Speaker, that flamboyant scarves have just as much place in the Chamber as flamboyant ties? I congratulate the Minister on the work she has put into securing the stakes and prizes review, but will she make strong representations to the Treasury about the associated consequences of problem gambling? Mental health issues and antisocial behaviour costs the public purse more than £1.2 billion annually, and the reduction in stakes will help not only the individual concerned, but society in general.
ParlaMint-GB_2017-12-21-commons.u116	It will not surprise the hon. Lady to learn that we regularly make strong representations to the Treasury on a number of issues, of which gambling is one. The gambling consultation is a live document, and I encourage people to take part in it and make their representations. We are aware of recent reports about problem gambling and its cost and impact on society.
ParlaMint-GB_2017-12-21-commons.u117	I refer the House to my entry in the Register of Members’ Financial Interests. Given that we are not allowed to talk about what is in the Brexit sectoral analyses over the road at 100 Parliament Street, will the Secretary of State say what is not in them in relation to the creative industries?
ParlaMint-GB_2017-12-21-commons.u118	I do not think there is anything that is not in there. The creative industries work with us, and these are sectoral analyses that set out the analysis we have made as Government, working with the industry. I am sorry to disappoint the hon. Lady at Christmastime if she feels that she is missing something, and I hope that when Christmas comes it will provide everything she is looking for.
ParlaMint-GB_2017-12-21-commons.u119	1. What plans the Government have to implement the agreement reached by the Council of Europe on prisoner voting in the UK.
ParlaMint-GB_2017-12-21-commons.u120	On behalf of the Law Officers may I take this early opportunity to wish all Members and staff of the House a very merry and, of course, lawful Christmas I very much welcome the decision by the Council of Europe’s Committee of Ministers to support our proposals on prisoner voting. We hope to complete implementation of those proposals by the end of next year, and we have agreed to provide an update on progress to the Council of Europe on 1 September.
ParlaMint-GB_2017-12-21-commons.u121	I thank the Minister for his response, and I am pleased that an agreement has finally been reached to settle what has been a long-running dispute between ourselves and the Council of Europe in Strasbourg. Will my right hon. and learned Friend confirm to me and my constituents that it remains Government policy that convicted offenders detained in prison should not be allowed to vote, and that the recent agreement will not start us off on a slippery slope?
ParlaMint-GB_2017-12-21-commons.u122	Yes, and it is important that the Government comply with the judgment of a Court whose jurisdiction we have accepted. As my hon. Friend says, however, it is equally important that we stick to the clear view of this House and those beyond it that convicted prisoners should not vote from their cells, and they will not do so.
