ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u125	Will the Minister clarify the Government’s policy in respect of building on the green belt?
ParlaMint-GB_2017-10-30-commons.u126	I thought I had already clarified it, but let me make it clear again. We believe in protecting the green belt. There will be exceptional circumstances that local authorities can consider, but they will need to take their local communities with them.
ParlaMint-GB_2017-10-30-commons.u127	I am sure that colleagues on both sides of the House will join me in warmly welcoming back to his place the hon. Member for Grantham and Stamford (Nick Boles).
ParlaMint-GB_2017-10-30-commons.u128	Thank you very much, Mr Speaker. It is good to be back The Government have made remarkable progress in cutting the deficit from the 10.5% of GDP that we inherited in 2010 to 2.5% now. May I therefore urge everyone to back the Secretary of State’s call for special borrowing to put in place the infrastructure that will unlock the hundreds of thousands of extra houses that we need? This is the kind of borrowing that we should all be able to support.
ParlaMint-GB_2017-10-30-commons.u129	Of course all of us in the House support the ambition to build more homes, but my hon. Friend should wait for the Budget announcement in relation to any specifics.
ParlaMint-GB_2017-10-30-commons.u130	Has my hon. Friend made an assessment of the need for social housing, particularly in new towns such as Harlow, and will he consider tax incentives to ensure that housing associations can build more social housing?
ParlaMint-GB_2017-10-30-commons.u131	I can tell my hon. Friend that housing associations have hugely welcomed our announcements about rent certainty—social housing rents will rise by the consumer prices index plus 1% from 2020—and the investment of an extra £2 billion, and we are engaged in a constant dialogue with them.
ParlaMint-GB_2017-10-30-commons.u132	16. What steps he is taking to encourage more women to stand in local council elections.
ParlaMint-GB_2017-10-30-commons.u133	I recently met my hon. Friend the Member for Chichester (Gillian Keegan), the right hon. Member for Barking (Dame Margaret Hodge) and representatives of the Fawcett Society to discuss this important issue. As a start, I shall be holding a round table with local government organisations, cross-party councillors and chief officers in November to discuss how we can break down the barriers that prevent women from engaging with local politics and standing in council elections.
ParlaMint-GB_2017-10-30-commons.u134	Women are disproportionately affected by services that are controlled by local government, but just one in four directly elected mayors and 17% of local authority leaders are women. In order to address that imbalance, will the Government now legislate for all-women shortlists in local government elections?
ParlaMint-GB_2017-10-30-commons.u135	As I have said, the Government take this issue very seriously. We want to see more women on councils, and in cabinets. I think that the political parties have a considerable part to play in that, and I think that Members of Parliament have a part to play in encouraging people to stand for election. As I have said, however, we will be looking at the position far more carefully.
