ParlaMint-GB_2017-11-28-commons.u1	1. What steps his Department is taking to support wage growth for low-paid workers.
ParlaMint-GB_2017-11-28-commons.u121	I shall be visiting small businesses in my constituency of Harrogate and Knaresborough as part of Small Business Saturday. I agree entirely with my hon. Friend: small businesses are indeed the backbone of local economies. That is why the Chancellor responded to the No. 1 ask of business in the Budget by announcing a £2.3 billion package to reduce business rates—it follows the business rate relief announced in the 2016 Budget, which was worth approximately £9 billion over five years —and why our modern industrial strategy will provide continued funding for growth hubs to ensure that businesses can access support locally.
ParlaMint-GB_2017-11-28-commons.u122	What assessment has the Minister made of the impact on the economy of small businesses that have been started up by disabled entrepreneurs? How can he champion that activity, and harness the full potential of people with disabilities for our economy?
ParlaMint-GB_2017-11-28-commons.u123	The hon. Lady has made a valuable point, and I entirely agree with her. Simply by raising the question in the House and discussing it in our political system, we are highlighting the fact that disability should not be a problem when it comes to starting businesses.
ParlaMint-GB_2017-11-28-commons.u124	16. What progress is being made on reducing the national debt.
ParlaMint-GB_2017-11-28-commons.u125	As a result of the Government’s action to bring the public finances back under control, the Office for Budget Responsibility has forecast a sustained reduction in debt as a share of GDP from next year onwards. Debt will fall from 86.5% to 79.1% of GDP by 2022-23. That will be the first sustained decline in debt for 17 years.
ParlaMint-GB_2017-11-28-commons.u126	Is my hon. Friend able to comment on the impact on the economy of increasing debt by £500 billion?
ParlaMint-GB_2017-11-28-commons.u127	Increasing debt by £500 billion would increase debt interest by £7 billion a year, which would reduce our economic and fiscal resilience, crowd out spending on valuable services, and pass a greater debt burden to future generations.
ParlaMint-GB_2017-11-28-commons.u128	Further to the answer that the Minister gave a few minutes ago on the sale of RBS shares to deal with Government debt, can he confirm that the Government will abide by the commitment of the Chancellor’s predecessor not to sell below the acquisition price?
ParlaMint-GB_2017-11-28-commons.u129	As the right hon. Gentleman will have heard from my earlier reply, that bank is in a very different place from where it was in 2008 when the shares were purchased. That reflects the action that has been taken to simplify the balance sheet and to make the bank safer and more streamlined.
ParlaMint-GB_2017-11-28-commons.u130	18. What progress is being made on reducing youth unemployment.
ParlaMint-GB_2017-11-28-commons.u131	Youth unemployment has decreased by 8.3% since 2010 and is now at its lowest rate for more than 13 years, but we are not complacent, which is why we are investing in skills to get more of our young people into jobs.
ParlaMint-GB_2017-11-28-commons.u132	The Government have made significant progress in reducing youth unemployment, but in part of the area that I represent in the black country too many young people are emerging from education with a lack of basic skills, which is holding the region back. Does my right hon. Friend agree that we need to continue to invest in skills, particularly for those young people who lack basic skills, so that they can take advantage of the opportunities that are out there?
ParlaMint-GB_2017-11-28-commons.u133	My hon. Friend is absolutely right. We are providing extra money in the Budget to triple the number of computer science teachers and give £600 to every school and sixth-form college where students take core or A-level maths, to ensure that all young people have the best possible start in life.
