ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u107	Wales’s promising clean tech entrepreneurs are urged to bid for the latest £11 million of Government funding, which is going to support between 15 and 20 projects, with successful bidders receiving up to £1 million each. The funding available through the energy entrepreneurs fund is open to all eligible companies across England, Wales, Scotland and Northern Ireland, and I look forward to seeing their submissions.
ParlaMint-GB_2021-02-09-commons.u108	What recent steps he has taken with the Secretary of State for Work and Pensions to improve the enforcement of workplace health and safety laws.
ParlaMint-GB_2021-02-09-commons.u109	The Government have invested an additional £14 million to support the Health and Safety Executive’s enforcement of health and safety laws. My Department has provided guidance on safer working in response to covid-19 that helps to inform the HSE’s monitoring and enforcement activities. This guidance is kept under continuous review.
ParlaMint-GB_2021-02-09-commons.u110	Given the emergence of new, more transmissible strains of covid-19, why has the Minister not updated his Department’s workplace guidance with stronger recommendations on ventilation, personal protective equipment and the increasing requirement for effective surface disinfectants to be used, so that everyone can be kept safe at work?
ParlaMint-GB_2021-02-09-commons.u111	The HSE and Public Health England continue to look at the guidance, and they believe that it is robust enough for the new variants. It has been very clear, right from the outset, that ventilation is an important weapon in tackling covid.
ParlaMint-GB_2021-02-09-commons.u112	If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2021-02-09-commons.u113	In my first four weeks as Secretary of State, I have met with more than 100 businesses —virtually, of course—up and down the country. I have been hugely impressed by the positivity, determination and sheer grit that our businesses have shown in spite of the immense challenges they are facing. I am pleased that we can now offer lateral flow testing to businesses with 50 or more employees, providing new support to small and medium-sized enterprises across the UK. As we have seen with the vaccine roll-out, it is thanks to our brilliant scientists and our brilliant science base that more than 12 million people have now received their first dose of a covid vaccine.
ParlaMint-GB_2021-02-09-commons.u114	In recent years, the Greater Birmingham and Solihull area has seen the setting up of the highest number of start-ups in the country outside London. Will my right hon. Friend set out his plans to support start-ups in my constituency of Meriden, so that they can continue to set up, thrive and survive after covid?
ParlaMint-GB_2021-02-09-commons.u115	My hon. Friend is utterly committed to supporting growth and entrepreneurship in his area. I am fully aware that he was a director of business support for four years for the Greater Birmingham and Solihull local enterprise partnership. He will know that our Government continue to back growth and recovery across the UK. I think, in his own constituency of Meriden, we have done this through £90.9 million of covid loan scheme support.
ParlaMint-GB_2021-02-09-commons.u116	Well, I have listened to the Secretary of State’s answers so far, and I am afraid that he is all mouth and no trousers. Let’s try again, shall we? Businesses face a £50 billion bombshell in April, yet many in hospitality, retail and services will not even be open by then. Councils are sending out business rates bills as we speak and difficult decisions are being made now. Does the Minister agree personally with Labour’s plan to extend the business rates holiday for at least six months as well as the furlough while public health measures remain, in order to deal with this bombshell before it blows a big hole in our economy?
