ParlaMint-GB_2016-02-23-commons.u1	1. What steps the Government are taking to support the global abolition of the death penalty.
ParlaMint-GB_2016-02-23-commons.u109	Surely there is a big contrast in the growth of extremism. The Israeli authorities deal with Jewish extremism—they investigate, they prosecute and they condemn—whereas the Palestinian Authority names schools after violent extremists, names sporting events after them and glorifies them on television. Will my hon. Friend take this opportunity to condemn absolutely the attitude of the Palestinian Authority and urge it to cease this senseless encouragement of violence?
ParlaMint-GB_2016-02-23-commons.u110	My right hon. Friend makes a very powerful argument. It is important to see that affirmative actions can be taken on both sides to reduce tensions, but I would raise the specific matter of using words to inflame the situation. For example, the recent remarks by the Health Minister in the Palestinian Authority condoning the attacks that are taking place were unhelpful. That takes us in the wrong direction, so we should do things to encourage those involved to refrain from doing so, and take steps to encourage them to act as a consequence.
ParlaMint-GB_2016-02-23-commons.u111	Order. I wish we had more time, but I am afraid we do not. I call Nic Dakin.
ParlaMint-GB_2016-02-23-commons.u112	11. By what date he expects to have set a timetable for overseas territories with financial centres to adopt central registers of beneficial ownership or similarly effective systems.
ParlaMint-GB_2016-02-23-commons.u113	I had productive discussions at the Joint Ministerial Council with leaders of the overseas territories in December. We agreed progress on implementing central registers, and equally effective systems should be kept under continuous and close review. Discussions are still ongoing, but I want to see significant progress ahead of the anti-corruption summit that will be hosted by the Prime Minister in May.
ParlaMint-GB_2016-02-23-commons.u114	Will the Minister confirm that the overseas territories and Crown dependencies will attend the summit? Will we do our part to make sure that we secure their commitment to clean up their act and make company owners public?
ParlaMint-GB_2016-02-23-commons.u115	Final invitations for the summit have not yet gone out, but discussions are very much ongoing. In fact, the director for overseas territories and the National Crime Agency are currently visiting the Cayman Islands and British Virgin Islands to thrash out some of the detail that is needed.
ParlaMint-GB_2016-02-23-commons.u116	Does the Minister expect the registers to be publicly available, or will they be closed registers that can be accessed only by the relevant authorities?
ParlaMint-GB_2016-02-23-commons.u117	There will be open registers available for law enforcement agencies to interrogate. There will not be publicly open registers. That is a long-term aspiration, but initially we want there to be access for law enforcement agencies. That will create greater transparency and reduce corruption and terrorist payments.
ParlaMint-GB_2016-02-23-commons.u118	In April 2014, the Prime Minister said: “I believe that beneficial ownership and public access to a central register is key to improving the transparency of company ownership and vital to meeting the urgent challenges of illicit finance and tax evasion.” Nearly two years have passed and there still appears to be no timetable for transparency arrangements in respect of the financial centres. Why is that?
ParlaMint-GB_2016-02-23-commons.u119	There has been much progress, which the hon. Lady dismisses too readily. There are checkpoints. Only last week, I spoke to overseas territory leaders. There are people out there at the moment and we hope to crystallise some of the improvements before the May summit on corruption. That summit was called by the Prime Minister and will be held here in London, which demonstrates the British Government’s commitment to this important issue.
