ParlaMint-GB_2016-12-15-commons.u1	1. What progress has been made on rolling out broadband to rural communities.
ParlaMint-GB_2016-12-15-commons.u121	I do not think I need to explain to my hon. Friend that I and my fellow Ministers have set out the case for free trade on a number of occasions. We are seeing a slowdown in the rate of global trade growth at present, which is a threat to the prosperity of people across the globe. We must have more open trade, fewer tariffs and fewer non-tariff barriers if we are to succeed in that task.
ParlaMint-GB_2016-12-15-commons.u122	rose—
ParlaMint-GB_2016-12-15-commons.u123	Love the tie!
ParlaMint-GB_2016-12-15-commons.u124	One of the steps that the Government are taking to expand UK trade is through arms sales, particularly to the middle east. In July, the Committees on Arms Export Controls heard evidence that there was an imbalance in arms sales, with promotion coming at the expense of regulation “such that in UK practice those things are at odds.” Does the Secretary of State recognise that imbalance? If he does, what does he propose to do about it? If he does not, has he chastised the White House for the remarks this week that “systemic, endemic” problems in Saudi Arabia’s targeting of civilians in Yemen drove the US decision to halt a future weapons sale, which has the Secretary of State and British policy in this area looking callous and threadbare?
ParlaMint-GB_2016-12-15-commons.u125	I thank the hon. Gentleman; this is the first time in my life that I have been grateful for being colour blind. [Laughter.] This country has one of the world’s strictest arms control regimes. It is both robust and transparent, and decisions are scrutinised intensely. I simply do not accept the picture that he paints of the UK’s attitude.
ParlaMint-GB_2016-12-15-commons.u126	I am going to play the role of tie referee and say that the tie of the hon. Member for Brent North (Barry Gardiner) is absolutely beautiful. It is tasteful and interesting, not boring like all too many ties. Now, let us hear from the fellow from Gloucester.
ParlaMint-GB_2016-12-15-commons.u127	The UK has an excellent tradition of hosting major international sports events—most recently the Olympics, the Commonwealth games, and the Rugby World cup—and other countries hosting such events can benefit from our expertise. In 2018, Indonesia will host the Asian games, which is a great opportunity to highlight the improvements it has made in infrastructure development. Should my right hon. Friend have the chance to visit south-east Asia in the new year, will he highlight British expertise and the help that we can give Indonesia to deliver a magnificent Asian games?
ParlaMint-GB_2016-12-15-commons.u128	Yet again, I am able to thank an hon. Friend for working as a trade envoy—this time to Indonesia. My hon. Friend’s specific point applies more generally: the United Kingdom can provide great service sector skills to many countries, which not only helps them to mature their economies, but provides them with the ability to grow their markets, offering an export opportunity for the United Kingdom.
ParlaMint-GB_2016-12-15-commons.u129	Newcastle international airport plays a vital role in the north-east’s economy, by facilitating over £300 million-worth of exports every year. Like other English regional airports, however, it faces unfair competition on tax as air passenger duty is devolved to Scotland. The Government have failed to commit to mitigate that. What discussions will the Department have with the Treasury to ensure that airports such as Newcastle can continue to play a vital role in international trade?
ParlaMint-GB_2016-12-15-commons.u130	Such imbalances are an inevitable consequence of devolution, for which the hon. Lady’s party campaigned. I also have a regional airport in my constituency, and I can assure her that the ongoing discussions with the Treasury will be not just general but personal.
