ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u120	Given the unfortunate success of the Brexit campaign and the subsequent downward spiral of the value of the pound, which now sits at a 31-year low, will the Minister tell me the additional cost of the Trident renewal programme on top of the current estimate of £205 billion?
ParlaMint-GB_2016-06-27-commons.u121	In the strategic defence and security review, we published our most up-to-date assessment of the cost of the Trident replacement programme at £31 billion, plus a contingency of a further £10 billion.
ParlaMint-GB_2016-06-27-commons.u122	T3. In the light of the momentous decision taken by the nation last Thursday, will the Minister explain to the House what implications that decision will have on working with military intelligence from not only European countries but other countries around the world?
ParlaMint-GB_2016-06-27-commons.u123	Defence in the UK is grounded on the strength of our relationships with our closest allies and partners. We work extensively with them, principally through NATO but also bilaterally. The UK’s decision to leave the European Union does not change that approach.
ParlaMint-GB_2016-06-27-commons.u124	In the first year of this Government, over 1,800 properties within the married quarters estate were left empty for the majority of the year. Since then, the number has more than quadrupled. Can the Minister explain why that has been allowed to happen and why the properties are not being used?
ParlaMint-GB_2016-06-27-commons.u125	My understanding is that there are just over 10,000 void properties at the moment under the service family accommodation estate. We need to have void properties to ensure that when people trickle post they have a property to go to. Equally, the hon. Lady will be aware that we are moving the Army back from Germany at the moment so we need spare properties, but up to half of those properties are currently up for disposal.
ParlaMint-GB_2016-06-27-commons.u126	The fact is that departmental policy is for about 10% of such properties to remain vacant. In fact, there are more than 20%. The reality is that there is such a high proportion of empty properties because they are not in a fit state for people to live in. They cannot be released for sale by the leaseholder, Annington Homes, because it would cost too much for the Government to repair. The taxpayer is having to spend more than £30 million every year for the MOD to rent these properties. Will the Minister explain why his Department is wasting £30 million?
ParlaMint-GB_2016-06-27-commons.u127	I am not sure whether the hon. Lady heard my answer. It is not every year that we seek to bring back the Army from Germany, which is why we need extra properties. However, more than half the properties are currently up for disposal and we have also invested more than £200 million in building 1,200 new service family accommodation units to ensure that we get the best quality accommodation for our troops.
ParlaMint-GB_2016-06-27-commons.u128	T4. While I welcome the recent announcement that Lincolnshire will still have an air show—now at RAF Scampton—what steps is my hon. Friend taking to increase home ownership among members of the armed forces?
ParlaMint-GB_2016-06-27-commons.u129	I am delighted to say that since the forces’ Help to Buy scheme was introduced, more than 7,260 service families have taken up the opportunity to buy their own home.
ParlaMint-GB_2016-06-27-commons.u130	T2. Will the Minister undertake an urgent review of the awards of the Légion d’Honneur? I have many constituents who were awarded the Légion d’Honneur by the French authorities and who notified the Ministry of Defence more than a year ago, but have still not received their medals. Will the Minister look at that urgently?
ParlaMint-GB_2016-06-27-commons.u131	I am more than happy to do so. The right hon. Gentleman will be aware that there was a review. It is fair to say that the French authorities have simply been overwhelmed by the number of applications, but we have a system in place now whereby 200 are sent each week to the French. Of the original applications that were made, I understand that all have now been awarded.[Official Report, 28 June 2016, Vol. 612, c. 1MC.]
