ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u106	It is not just the Syrian opposition but Syrian civil society and non-governmental organisations in this country who are calling for our Government to lead on a comprehensive strategy to protect civilians, including a no-bombing zone. Will the Foreign Secretary confirm that our Government will now take a lead in considering this strategy?
ParlaMint-GB_2016-10-18-commons.u107	I pay tribute to the forcefulness with which the hon. Lady has advocated this course. I must say that I wish that, three years ago, the then Labour Opposition had been as resolute in wishing to see that kind of engagement to protect the people of Syria. A critical decision was taken then, as the right hon. Member for Exeter (Mr Bradshaw) well remembers, which has made things much more difficult for us today. I want to see the will of this House clearly expressed in support of what the hon. Lady has said.
ParlaMint-GB_2016-10-18-commons.u108	The fact of the matter is that with America increasingly absorbed by a sometimes surreal presidential election, France and Germany facing elections of their own next year, Secretary Kerry soon to leave office and a change of leadership at the UN, a degree of paralysis has entered into the negotiation process on Syria—
ParlaMint-GB_2016-10-18-commons.u109	I call the Foreign Secretary.
ParlaMint-GB_2016-10-18-commons.u110	rose—
ParlaMint-GB_2016-10-18-commons.u111	Order. I rather thought that the right hon. Gentleman had finished. That was a fairly long inquiry, but if he has a short sentence, will he please blurt it out?
ParlaMint-GB_2016-10-18-commons.u112	I thought my right hon. Friend’s question was excellent. It goes to the heart of what is happening at the moment. As I said earlier, the space vacated by western powers has been occupied, I am afraid, by the Russians. We need to do whatever we can now to put pressure on the Russians—through sanctions, through the threat of the International Criminal Court—[Interruption.] Indeed, and through measures such as the hon. Member for Rhondda (Chris Bryant) suggests from a sedentary position. These measures are already in place in this country.
ParlaMint-GB_2016-10-18-commons.u113	Is the Foreign Secretary aware that although many people in Syria and in the aid agencies can understand the sort of bombastic bluster that he is so good at, the fact is that serious diplomacy will require a calm, rational approach if we are to secure peace in Syria?
ParlaMint-GB_2016-10-18-commons.u114	I am grateful to the hon. Gentleman but, alas, I think that what is really needed at this stage is a tough approach, because the primary cause of the suffering of the people of Aleppo is the Syrian regime. That is overwhelmingly responsible for the deaths of 400,000 people in the conflict so far. That regime is backed by its Russian puppeteers, and it would be a fatal mistake if we were now to lose sight of that priority, and to give up on applying the pressure that is needed on Russia and its Syrian clients.
ParlaMint-GB_2016-10-18-commons.u115	13. What discussions he has had with the Italian embassy in London on ensuring the timely provision of Italian passports to UK residents.
ParlaMint-GB_2016-10-18-commons.u116	The issuing of Italian passports is a matter for the Italian authorities. There have therefore been no discussions so far with the Italian embassy about the issuing of Italian passports to Italians.
ParlaMint-GB_2016-10-18-commons.u117	Bedford is proudly home to a large multi-generational Italian community that has relied on our local honorary consul for the provision of their Italian passports. There has been a sustained and large increase in demand for Italian passports, and I am told that capacity at the Italian embassy is limited. Will the Minister please raise this issue with the ambassador?
ParlaMint-GB_2016-10-18-commons.u118	There are in the UK, and especially in Bedford, a number of British nationals who are eligible for an Italian passport and have recently applied for one. That is, as I said, a matter for the Italian Government, but I can assure my hon. Friend that I will raise the matter with them as appropriate.
ParlaMint-GB_2016-10-18-commons.u119	21. Due to the uncertainty created about the future of EU citizens living in the UK and the Government’s obsession with reducing immigration, does the Secretary of State agree that it is now easier and more secure for EU nationals to become a citizen of Asgardia—a recently founded nation state in space—than it is to remain a valued citizen of a country where they have lived and to which they have contributed for many years?
