ParlaMint-GB_2016-09-06-commons.u1	1. What steps she is taking to reform the Human Rights Act 1998.
ParlaMint-GB_2016-09-06-commons.u120	Since being appointed to this job, I have met a number of governors, and most of them tell us that they want to be empowered to match resources to the needs of prisoners in their prisons, working with local employers and the whole community. That is what governors want, but this is not the responsibility of governors alone. If we want prisoners to be able to go out and find work, businesses have a role, the community has a role and we all have a role. If prisoners can leave, get jobs and restart their lives for the better, we all benefit.
ParlaMint-GB_2016-09-06-commons.u121	More than 60% of young people within the justice system have a communications disability, and more than a third of young offenders have speaking and listening skills at the level expected of an 11-year-old. With these skills being fundamental to the ability to hold down a job, will the Minister update us on what assessment the Government have made of speech and language support needs and of how well those needs are being met?
ParlaMint-GB_2016-09-06-commons.u122	The hon. Lady is obviously right that many prisoners arrive at prison with huge learning difficulties and disadvantages. That is well documented. We need individual programmes tailored to the needs of the prisoner, and the way to do that, as my right hon. Friend the Secretary of State said, is to empower governors to work with probation companies and rehabilitation organisations to deliver those programmes.
ParlaMint-GB_2016-09-06-commons.u123	I gently say to the Minister that I wrote a little report on this matter in 2008, a copy of which I dare say he will find either on the internet or in the House of Commons Library, if it is of interest to him.
ParlaMint-GB_2016-09-06-commons.u124	I look forward to reading it.
ParlaMint-GB_2016-09-06-commons.u125	I am sure he does. We are immensely grateful to him.
ParlaMint-GB_2016-09-06-commons.u126	12. What proportion of prisoners are illiterate.
ParlaMint-GB_2016-09-06-commons.u127	Fewer than half of the people entering prison have basic standards of English and maths. This is a huge problem because we know that low levels of education can prevent people from securing jobs on release and leading law-abiding lives.
ParlaMint-GB_2016-09-06-commons.u128	The Secretary of State is quite right to say that both literacy and numeracy are essential to getting a job. Should we not therefore put more resources into educating prisoners on release so that they are able to get jobs?
ParlaMint-GB_2016-09-06-commons.u129	My hon. Friend is absolutely right. The fact is that too many people enter our prisons without those skills. We need to use their time in prison to help them to gain the basic skills so that they can succeed outside. We have started measuring prisoners’ skills by testing them as they enter prison. I am keen to see that we measure real progress made during prisoners’ stay in prison and hold governors accountable for that.
ParlaMint-GB_2016-09-06-commons.u130	Will the Secretary of State confirm that there will be no return to the policy of banning books for prisoners?
ParlaMint-GB_2016-09-06-commons.u131	I confirm that books are freely available in prison.
ParlaMint-GB_2016-09-06-commons.u132	I warmly welcome my right hon. Friend to her position. I was delighted to hear the new Secretary of State for Culture, Media and Sport talking about the importance of the arts in prisons. I hope that my right hon. Friend will recognise how the arts can bring prisoners to literacy and teach them a huge range of skills. I hope she will meet the National Criminal Justice Arts Alliance at the earliest opportunity to discuss what the arts can do, particularly in respect of literacy.
