ParlaMint-GB_2016-11-15-commons.u1	1. What plans he has to prevent excess deaths in the winter of 2016-17.
ParlaMint-GB_2016-11-15-commons.u104	My hon. Friend will be aware that the sustainability and transformation plans discussed earlier today are designed to bring closer integration of health providers and commissioners within a health system area, such as the east midlands. The ambition is to integrate better health and social care provision to avoid some of the challenges he identifies.
ParlaMint-GB_2016-11-15-commons.u105	The A&E target the Minister mentions is actually a measure of the entire acute system. Important in that is the flow of patients from admission through treatment to discharge. In Scotland, delayed discharges have fallen 9% since health and social care were integrated. In England, they have gone up 30%. Does the Minister accept the need to fund social care properly to relieve the back pressure on A&E?
ParlaMint-GB_2016-11-15-commons.u106	I listen with great interest to what the hon. Lady says, but I gently remind her of two things. First, as the result of the generosity of the Barnett formula, Scotland receives £1,500 per capita more to spend on health than England. Secondly, the Auditor General for Scotland recently reported that NHS Scotland was failing to meet seven out of eight key targets, including waiting times for A&E.
ParlaMint-GB_2016-11-15-commons.u107	I wonder how many targets are being missed in England. The Royal College of Emergency Medicine report demonstrates that in the 176 emergency departments in England there are only enough consultants to provide the cover of one for 16 hours a day. On top of that, rota gaps among junior doctors are causing safety concerns. What exactly is the Minister going to do this winter and will he agree to lift his ban on locum agency staff to help to keep A&Es functioning?
ParlaMint-GB_2016-11-15-commons.u108	We recognise that there have been pressures on emergency departments for some years, which is why we have put particular effort into recruiting more consultants. There are, I believe, 50% more consultants working in emergency departments in England than there were in 2010, and 25% more doctors.
ParlaMint-GB_2016-11-15-commons.u109	10. What steps his Department is taking to improve the safety of maternity care.
ParlaMint-GB_2016-11-15-commons.u110	Last month, I launched the safer maternity care action plan, which is part of our ambition to halve the rates of stillbirths, neonatal deaths, maternal deaths and brain injuries by 2030.
ParlaMint-GB_2016-11-15-commons.u111	I am grateful to my right hon. Friend for that answer. In 2001, the then Labour Government closed the maternity unit at Crawley hospital. Longer journeys to East Surrey hospital have been a safety concern. Will the Department look at reintroducing midwife services to Crawley hospital and GP surgeries in Crawley?
ParlaMint-GB_2016-11-15-commons.u112	I am happy to talk further with my hon. Friend. He knows that this is a local matter. It was, I think, looked into in 2014, but if the pattern of demand changes it should be kept under review.
ParlaMint-GB_2016-11-15-commons.u113	11. What assessment he has made of the effect of changes to local authority social care budgets on the demand for health services.
ParlaMint-GB_2016-11-15-commons.u114	Social care plays a vital role in keeping people healthy and independent, which is why the Government are making a further £3.5 billion available by 2020—a real-terms increase over the lifetime of this Parliament. There is an overlap between care and health, which is why faster integration is our major priority.
